id,display_name,affiliated_institution,work_count,citation_count
https://openalex.org/A5078283120,Jerven Bolleman,Unknown,2,10313
https://openalex.org/A5076235150,Florence Jungo,Unknown,2,10313
https://openalex.org/A5091317839,Veselin Stoyanov,Unknown,2,10456
https://openalex.org/A5079708487,Andrew Senior,DeepMind (United Kingdom),4,39536
https://openalex.org/A5067459456,Clemens Meyer,DeepMind (United Kingdom),2,33607
https://openalex.org/A5004531184,Michael Figurnov,DeepMind (United Kingdom),4,43083
https://openalex.org/A5096162130,Kamal Chikh Echioukh,Unknown,2,10313
https://openalex.org/A5061379058,Ewan Birney,European Bioinformatics Institute,2,8748
https://openalex.org/A5090916579,Alan Bridge,Unknown,2,10313
https://openalex.org/A5005772961,Lars Juhl Jensen,Novo Nordisk Foundation,2,10261
https://openalex.org/A5066925770,Sampo Pyysalo,University of Turku,2,10261
https://openalex.org/A5010825633,Annika L Gable,SIB Swiss Institute of Bioinformatics,2,10261
https://openalex.org/A5033654825,Giuseppe Insana,Unknown,2,10313
https://openalex.org/A5034785056,Penelope Garmiri,Unknown,3,13451
https://openalex.org/A5110728949,Asbjørn Hróbjartsson,Cochrane,3,61349
https://openalex.org/A5065438573,Dushyanth Jyothi,Unknown,2,10313
https://openalex.org/A5041615321,Elie A. Akl,McMaster University,4,65012
https://openalex.org/A5069316249,Édouard Grave,Unknown,2,6699
https://openalex.org/A5046346579,Ellen Clancy,DeepMind (United Kingdom),4,42764
https://openalex.org/A5113989875,Russ Bates,DeepMind (United Kingdom),3,36577
https://openalex.org/A5047798389,Rizwan Ishtiaq,Unknown,3,13451
https://openalex.org/A5057866698,Piotr Dollár,Meta (Israel),2,7262
https://openalex.org/A5012486829,Sue Brennan,Monash University,4,63882
https://openalex.org/A5009240058,David Reiman,DeepMind (United Kingdom),3,36896
